	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	overlijdensdag	overlijdensmaand	Opmerkingen2
599	157	Jepema		1	4	Hartesius	0				1611.0	0	1666	0		9	24.0	3.0	
600	158	Andreae	van	1	1	Henning Georg	1				1610.0	0	1656	0		9		10.0	
601	160	Nijs		1	1	Petrus	0				1617.0	0	1660	0		9	24.0	9.0	
602	161	Sminia	van	1	4	Jetze	0				1625.0	0	1678	0	Overig: was grietman van Gaasterland 1669-1678.	9	16.0	12.0	
603	162	Scheltinga	van	1	4	Dirck	0				1621.0	0	1671	0		9	22.0	12.0	
604	163	Vierssen	van	1	4	Willem	0				1621.0	0	1678	0	Persoonsgegevens: Wapenheraut geeft geboortejaar 1619, Vries 1621.	9	12.0	1.0	
605	164	Bouricius	van	1	4	Johannes	0				1623.0	1	1671	0	Overig: was volgens Vries ook lid van de Generaliteits-Rekenkamer. Daarvoor zijn elders echter geen bewijzen gevonden.	9	9.0	1.0	
606	165	Knijff		1	4	Horatius	0				1628.0	0	1679	0		9	12.0	1.0	
607	166	Grovestins	van	1	1	Assuerus	1				1632.0	1	1699	0		9	13.0	11.0	
608	168	Ockinga	van	1	1	Jarich	1				1644.0	0	1714	0		9	7.0	11.0	
609	169	Doma	van	1	4	Pibo	0				1614.0	0	1675	0		9	12.0	2.0	
610	170	Rhala	(van)	1	4	Johannes	0				1630.0	0	1686	0		9	16.0	6.0	
611	171	Adius		1	4	Gerhardus	0				1627.0	0	1676	0		9	11.0	11.0	
612	172	Doys		1	1	Gerlich	1				1626.0	0	1685	0		9	21.0	2.0	
613	173	Humalda	van	1	1	Philippus	1				1616.0	1	1672	0		9	21.0	2.0	
614	174	Sirtema van Grovestins		1	1	Binnert Heringa	1				1641.0	0	1696	0	"Persoonsgegevens: Baerdt geeft afwijkende overlijdensdatum 24 oktober in plaats van 24 november.
Overig: was blijkens Vries ook gedeputeerde ter Staten-Generaal van 1680-1683 en 1689-1692. In beide gevallen lijkt echter sprake van verwarring met zijn zitting in Gedeputeerde Staten in dezelfde perioden.
Was grietman van Ferwerderadeel 1679-1696."	9	24.0	11.0	
615	175	Burum	van	1	4	Franciscus	0				1641.0	0	1710	0	Persoonsgegevens: Raad van State 450 jaar geeft afwijkend geboortejaar 1640 en afwijkende overlijdensdatum 19 in plaats van 5 februari.	9	5.0	2.0	
616	176	Vierssen	van	1	4	Gijsbert	0				1638.0	0	1698	0	Overig: De Haan Hettema meent dat hij in 1667 secretaris van de Staten van Friesland werd, maar daarvoor is elders geen bewijs aangetroffen. Vermoedelijk is sprake van verwarring met het ambt van secretaris van Gedeputeerde Staten.	9	10.0	6.0	
617	177	Sixma	van	1	1	Agge	1				1636.0	0	1699	0	Overig: was grietman van Barradeel 1684-1689.	9	26.0	6.0	
618	178	Blau	de	1	4	Quirijn	0				1645.0	0	1692	0		9	6.0	5.0	
619	179	Scheltinga	van	1	4	Martinus	0				1656.0	0	1726	0	"Overig: bekleedde mogelijk ook de functies van gedeputeerde ter Staten-Generaal 1715-1716, gecommitteerde in de Generaliteits-Rekenkamer 1716-1718 en gecommitteerde in de Admiraliteit in Friesland vanaf 1718, die nu bij zijn naamgenoot zijn geplaatst (1666-1742, elders in deze database).
Was grietman van Engwirden 1715-1721."	9	21.0	1.0	
620	180	Idsinga	van	1	4	Harmannus	0				1638.0	0	1698	0		9	3.0	11.0	
621	181	Huber		1	4	Ulricus	0				1636.0	0	1694	0		9	8.0	11.0	
622	182	Sminia	Baerdt van	1	1	Hobbe	0				1655.0	0	1721	0		9	21.0	10.0	
623	183	Jorritsma		1	4	Franciscus	0				1644.0	0	1716	0		9	5.0	5.0	
624	184	Vierssen	van	1	4	Matthias	0				1660.0	0	1699	0		9	7.0	8.0	
625	186	Bouricius	van	1	1	Hector	0				1660.0	1	1705	0		9	5.0	9.0	
626	187	Vierssen	van	1	4	Cornelis	0				1668.0	0	1694	0		9	6.0	9.0	
627	188	Hamerster		1	4	Aggaeus	0				1662.0	0	1717	0		9	18.0	7.0	
628	189	Haersma	van	1	4	Hector Livius	0				1673.0	0	1720	0		9	10.0	4.0	
629	190	Knock		1	4	Barold	0				1664.0	0	1722	0		9			
630	191	Knijff	van	1	1	Goslick	0				1666.0	0	1712	0		9	1.0	12.0	
631	192	Burmania	Aylva van	1	1	Ulbe	1				1680.0	0	1762	0	Overig: was grietman van Leeuwarderadeel 1702-1721.	9	12.0	8.0	
632	193	Sixma van Andla		1	1	Ulbe	1				1673.0	0	1760	0		9	17.0	3.0	
633	194	Gemmenich thoe Kingma	van	1	4	Zachaeus	0				1654.0	0	1720	0		9	20.0	5.0	
634	195	Kempenaer	de	1	4	Dancker	0				1668.0	0	1746	0	Persoonsgegevens: Raad van State 450 jaar geeft afwijkende overlijdensdatum 25 juni in plaats van 25 juli.	9	25.0	7.0	
635	196	Burmania	van	1	1	Sjuck	1				1666.0	0	1726	0		9	21.0	5.0	Persoonsgegevens: overlijden mogelijk 22 mei.
636	197	Lycklama à Nijeholt		1	4	Pierius	0				1681.0	0	1720	0		9	14.0	9.0	
637	198	Schultens		1	4	Johan Hendrik	0				1683.0	0	1730	0		9	16.0	8.0	
638	199	Scheltinga	van	1	4	Gajus	0				1682.0	0	1730	0	Overig: was grietman van Kollumerland 1725-1730.	9	19.0	1.0	
639	200	Aylva	van	1	1	Hans Willem	1				1694.0	0	1733	0	Overig: was grietman van Baarderadeel vanaf 1722.	9		12.0	
640	201	Hamerster		1	4	Dominicus	0				1689.0	0	1774	0		9	11.0	5.0	
641	202	Huber		1	4	Zacharias	0				1669.0	0	1732	0		9	21.0	10.0	
642	203	Haersma	van	1	1	Arent Aulus	0				1702.0	0	1737	0		9	16.0	6.0	
643	204	Knock		1	4	Bernhardus Hermannus	0				1695.0	0	1780	0		9	9.0	1.0	
644	205	Vierssen	van	1	4	Willem	0				1692.0	1	1782	0	Persoonsgegevens: De Haan Hettema en Wapenheraut geven geboortedatum 31 december 1691, Vries 31 december 1692.	9	18.0	6.0	
645	207	Boelens	van	1	4	Ayso	0				1694.0	0	1782	0		9	16.0	6.0	
646	209	Sloterdijck	van	1	4	Titus	0				1677.0	0	1744	0		9	28.0	4.0	
647	210	Vierssen	van	1	4	Philippus	0				1672.0	0	1752	0		9	30.0	3.0	
648	211	Lycklama à Nijeholt		1	1	Tinco	0				1696.0	0	1762	0	Overig: was grietman van Utingeradeel 1757-1762.	9	22.0	3.0	
649	212	Wielinga		1	4	Epeus	0				1702.0	0	1773	0		9	4.0	10.0	
650	213	Kempenaer	de	1	1	Jan	0				1711.0	0	1789	0		9	12.0	1.0	
651	214	Burmania	van	1	1	Laas	1				1709.0	0	1784	0		9	25.0	12.0	
652	215	Burmania	van	1	1	Eduard Marius	1				1700.0	0	1789	0		9	19.0	7.0	
653	216	Burmania	van	1	1	Edzard Hobbe	1				1698.0	0	1772	0		9	24.0	7.0	
654	218	Haersma	van	1	4	Johan Lodewijk Doys	0				1723.0	0		0	Persoonsgegevens: overleden na 1788.	9			
655	219	Wijckel	van	1	4	Johan	0				1731.0	0	1781	0		9	7.0	1.0	
656	220	Acronius	van	1	4	Isaäc	0				1712.0	0	1771	0		9	20.0	7.0	
657	221	Blau	de	1	4	Quirijn	0				1726.0	0	1780	0		9	16.0	12.0	
658	223	Sminia	van	1	1	Arent Johannes	0				1737.0	0	1820	0		9	9.0	3.0	
659	224	Hamerster		1	4	Hermannus Ulricus	0				1720.0	0	1779	0		9	14.0	11.0	
660	225	Binckes		1	4	Simon	0				1732.0	0	1786	0		9	13.0	10.0	
661	226	Idsinga	van	1	4	Johan	0				1736.0	0	1814	0		9	22.0	3.0	
662	230	Huber		1	4	Hermannus Ulricus	0				1737.0	0	1797	0		9	9.0	6.0	
663	232	Haren	Andreae van	1	4	Jan Poppe	1				1755.0	0	1818	0		9	14.0	3.0	
664	234	Sloterdijck	van	1	4	Matthijs Arnold	0				1710.0	0	1792	0		9	3.0	2.0	
665	237	Cocq		1	4	Simon	0				1754.0	0		0	Persoonsgegevens: overleden na 1811.	9			
666	243	Bullant		1	1	Philippus	0					0		0		9			
667	244	Bauwetten	van der	1	1	Simon	0					0	1541	0		9			
668	245	Boeymer	van	1	1	Arent	0					0	1548	0		9			
669	246	Duvenee	van	1	4	Govert	0					0	1557	0		9			
670	247	Eemskerck	van	1	1	Pieter	0					0		0		9			
671	250	Jeltinga	van	1	1	Buwe	1				1557.0	0	1615	0		9	22.0	3.0	
672	255	Glinstra	van	1	4	Epeus	0				1606.0	0	1677	0		9			
673	258	Sloterdijck	van	1	4	Frederick	0				1681.0	0	1767	0	Vroedschap: Nederland's Patriciaat geeft 1730-1743.	9	19.0	11.0	
674	259	Sloterdijck		1	1	Harmannus	0				1709.0	0	1779	0	Vroedschap: Nederland's Patriciaat geeft aanvang 1764.	9	6.0	12.0	
675	263	Glinstra	van	1	4	Vincentius	0				1735.0	0	1780	0	"Persoonsgegevens: De Haan Hettema geeft afwijkend geboortejaar 1734.
Overig: was grietman van Oost-Stellingwerf 1773-1780."	9	3.0	8.0	
676	265	Haer	van der	1	4	Henricus	0				1751.0	0	1811	0		9	29.0	7.0	
677	267	Geele	van	1	4	Julius	0					0	1567	0		9	1.0	7.0	
678	270	Adius		1	1	Isaak Martyn	0				1666.0	0	1719	0		9	12.0	6.0	
679	271	Adius		1	4	Jacobus	0				1622.0	0	1692	0		9	2.0	10.0	
680	279	Altena van Bergum	van	1	1	Henricus Wiardus	0				1709.0	1	1771	0	Overig: was grietman van Tietjerksteradeel 1752-1772.	9	13.0	12.0	
681	286	Andringa	van	1	1	Lubbert	0				1656.0	0	1682	0	Overig: was grietman van Utingeradeel 1670-1682.	9	18.0	12.0	
682	287	Andringa	van	1	1	Regnerus	0				1612.0	0	1671	0	Overig: was grietman van Utingeradeel 1640-1669. Vries geeft eindjaar 1670, maar blijkens de lijst van Engels van Gedeputeerde Staten van Friesland (zie de institutionele toelichting bij dat college) wordt hij al in 1669 opgevolgd door Frederik van Sminia.	9	10.0	5.0	
683	288	Andringa	van	1	1	Regnerus	0				1674.0	0	1754	0	"Overig: de lijst van gedeputeerden ter Staten-Generaal voor Friesland door Engels (zie institutionele toelichting bij dat college) geeft in 1737 de benoeming van Andringa in de Staten-Generaal voor Zevenwolden voor twee jaar. De lijst geeft voor hetzelfde jaar de benoeming van Philip Frederick Vegelin van Claerbergen voor twee jaar. De zitting van twee ordinaris-gedeputeerden in deze periode voor Zevenwolden is niet mogelijk (de vijfde ordinaris plaats voor Friesland werd op dat moment bezet door het kwartier der Steden). Omdat Vegelin van Claerbergen, in tegenstelling tot Andringa, in de genoemde lijst ook in 1738 als gedeputeerde wordt opgevoerd, én omdat Andringa van 1737-1739 in de Admiraliteit te Amsterdam was gecommitteerd, is aangenomen dat Andringa het ambt op Vegelin van Claerbergen heeft getransporteerd. 
Was grietman van Lemsterland 1692-1741."	9	25.0	8.0	
684	289	Andringa	van	1	1	Tinco	0				1643.0	0	1689	0	"Persoonsgegevens: De Haan Hettema en Raad van State 450 jaar geven afwijkende overlijdensdatum 17 in plaats van 29 juli.
Overig: was grietman van Lemsterland 1666-1689."	9	29.0	7.0	
685	291	Arnoldi		1	4	Nicolaus	0				1696.0	0	1777	0	Persoonsgegevens: Gabriëls en Vries geven geboortejaar 1695.	9	7.0	8.0	
686	296	Aylva	van	1	1	Douwe Feie	1				1675.0	0	1725	0	"Overig: De Haan Hettema en De Nederlandsche Leeuw vermelden zitting in Admiraliteit op de Maze, maar daarvoor werd elders geen bewijs gevonden.
Was grietman van Kollumerland 1712-1725."	9	10.0	6.0	
687	297	Aylva	van	1	1	Epe	1				1650.0	0	1720	0	Overig: was grietman van Kollumerland 1667-1712. In 1681 tijdelijk geschorst wegens een aanvaring met de Staten van Friesland.	9	6.0	9.0	
688	299	Aylva	van	1	1	Ernst	1				1659.0	0	1714	0	"Buitenlandse adelstitel: baron H.R.R. vanaf 1 april 1696.
Overig: was grietman van Westdongeradeel 1678-1712."	9	14.0	2.0	
689	302	Aylva	van	1	1	Hobbe	1				1582.0	0	1645	0	Overig: was grietman van Baarderadeel 1610-1639.	9	14.0	6.0	
690	306	Aylva	van	1	1	Tjaert	1				1647.0	0	1715	0	"Overig: de functie van gecommitteerde in de Generaliteits-Rekenkamer werd mogelijk niet door hem, maar door een naam- en tijdgenoot vervuld (1644-1705, elders in deze database). De hier genoemde persoon was mogelijk ook gecommitteerde in de admiraliteit van Friesland in 1672 en 1695, functies die bij de vermelde naamgenoot zijn opgenomen.
Was grietman van Dantumadeel 1666-1713."	9	23.0	3.0	
691	309	Aylva	van	1	1	Ulbe	1				1617.0	0	1652	0	Overig: was grietman van Baarderadeel 1640-1647 en Wonseradeel 1647-1652.	9			
692	311	Aylva	van	1	1	Ulbe	1				1551.0	0	1617	0	"Persoonsgegevens: De Haan Hettema geeft overlijdensdatum 26, De Nederlandsche Leeuw 23 augustus 1617.
Overig: was grietman van Baarderadeel 1582-1610."	9	23.0	8.0	
693	312	Aysma	van	1	1	Albert	1				1577.0	0	1648	0		9	2.0	6.0	
694	317	Baerdt	van	1	1	Egbert Hobbesz.	0				1627.0	0	1669	0	Overig: was grietman van Haskerland 1650-1669.	9	7.0	11.0	
695	321	Bergsma		1	4	Johannes Kasparus	0				1746.0	0	1793	0	Overig: was grietman van Franekeradeel 1785 of 1786-1793.	9	25.0	6.0	
696	323	Bergsma		1	1	Wilhelmus	0				1706.0	0	1774	0		9	22.0	6.0	
697	333	Botnia	van	1	1	Syds	1				1548.0	0	1615	0	Overig: was grietman van Wymbritseradeel 1578-1615.	9			
698	337	Bouricius	van	1	1	Jacobus	0				1679.0	0	1714	0	Overig: was grietman van Engwirden 1697-1714.	9	5.0	11.0	
699	339	Bouricius	van	1	1	Martinus	0				1708.0	1	1755	0	Overig: was grietman van Engwirden 1721-1755.	9	1.0	7.0	
700	340	Broersma	Botnia van	1	1	Gajus	0				1626.0	0	1678	0		9	5.0	12.0	
701	347	Burmania	Martena van	1	1	Duco Gerrolt	1		Camminghaburg		1687.0	0	1746	0	"Persoonsgegevens: Baerdt geeft afwijkende overlijdensdatum 4 maart 1747 in plaats van 4 september 1746.
Overig: was grietman van Wymbritseradeel 1716-1746."	9	4.0	9.0	
702	348	Burmania	van	1	1	Edzard	1				1655.0	0	1708	0	Overig: was grietman van Rauwerderhem 1696-1701 en van Ferwerderadeel 1701-1708.	9	4.0	12.0	
703	350	Burmania	van	1	1	Georg Ulbo	1				1715.0	0	1777	0	Overig: was grietman van Menaldumadeel 1739-1766.	9	17.0	1.0	
704	354	Burmania	van	1	1	Laes	1				1638.0	0	1691	0	Overig: was grietman van Idaarderadeel 1670-1673 en van Leeuwarderadeel 1673-1688.	9	3.0	12.0	
705	355	Burmania	Juckema van	1	1	Sjuck Gerrolt	1		Camminghaburg	Oosterbroek	1652.0	0	1720	0	Overig: was grietman van Wymbritseradeel 1671-1716.	9	4.0	12.0	
706	356	Burmania	van	1	1	Taco	1				1654.0	1	1705	0	Overig: was grietman van Doniawerstal 1688-1705.	9	3.0	4.0	
707	362	Burum	van	1	1	Alle Jansz.	0				1599.0	0	1668	0		9	11.0	5.0	
708	366	Camstra	van	1	1	Tjalling Homme	1				1665.0	1	1727	0	Overig: was grietman van Idaarderadeel 1695-1727.	9	9.0	10.0	
709	374	Crack		1	1	Johannes	0				1600.0	1	1652	0	Overig: was grietman van Engwirden 1636-1652.	9	26.0	4.0	
710	376	Dekema	van	1	3	Sicke	0				1548.0	0	1625	0		9			
711	380	Donia	van	1	1	Frans	0		Hinnema		1580.0	0	1651	0		9	25.0	2.0	
712	386	Doys	van	1	1	Gerlich Willem	1				1700.0	1	1774	0		9	30.0	1.0	
713	390	Eppinga		1	3	Jacobus	0				1669.0	1	1734	0	Persoonsgegevens: mogelijk promotie in de rechten, dus 'mr.'.	9			
714	393	Eysinga	Heringa van	1	1	Frans Julius Idzert Johan	1				1755.0	1	1806	0	Overig: was grietman van Rauwerderhem 1768-1795.	9	11.0	7.0	
715	395	Eysinga	Heringa van	1	1	Frans Julius Johan	1				1683.0	1	1730	0	Overig: was grietman van Rauwerderhem 1714-1729.	9	17.0	2.0	
716	396	Eysinga	van	1	1	Pieter	1				1565.0	0	1645	0	"Persoonsgegevens: Nieuw Nederlandsch Biografisch Woordenboek geeft afwijkend geboortejaar 1564.
Overig: was grietman van Rauwerderhem 1602-1635."	9	16.0	1.0	
717	397	Eysinga	Roorda van	1	1	Schelto Hessel	1				1722.0	0	1790	0	Overig: was grietman van Haskerland 1750-1790.	9	8.0	7.0	
718	399	Eysinga	Heringa van	1	1	Tjalling Aedo Johan	1				1721.0	1	1768	0	Overig: was grietman van Rauwerderhem 1729-1768.	9	5.0	7.0	
719	404	Fockens		1	1	Martinus	0				1632.0	0	1692	0	Overig: was grietman van Opsterland 1650-1692.	9			
720	412	Frieswijk		1	1	Edo	0				1648.0	0	1720	0		9	7.0	8.0	
721	413	Galama	van	1	1	Seerp	1				1528.0	0	1581	0	Overig: was grietman van Baarderadeel 1577-1581.	9	22.0	1.0	
722	417	Glinstra	van	1	4	Eelco	0				1608.0	0	1667	0		9	22.0	9.0	
723	418	Glinstra	van	1	1	Hector Epeusz.	0				1647.0	0	1705	0	"Persoonsgegevens: De Haan Hettema noemt een gelijknamige neef. Hoewel deze, op grond van de mededeling 'kolonel te paard' een militaire carrière lijkt te hebben gevolgd, kan niet worden uitgesloten dat hij, en niet Hector Epeusz., de functie van gecommitteerde in de Provinciale Rekenkamer van Friesland in 1668 heeft bekleed.
Overig: was grietman van Tietjerksteradeel 1686-1697."	9	19.0	8.0	
724	419	Glinstra	van	1	1	Hector Willem	0				1688.0	0	1751	0	Overig: was grietman van Tietjerksteradeel 1714-1751.	9	6.0	10.0	
725	420	Glinstra	van	1	1	Johannes	0				1683.0	0	1714	0	Overig: was grietman van Tietjerksteradeel 1706-1714.	9	26.0	1.0	
726	421	Glinstra	van	1	1	Watze	0				1647.0	0	1727	0	Overig: was grietman van Gaasterland 1679-1683.	9	2.0	3.0	
727	422	Glinstra	van	1	1	Valerius	0					0		0	"Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 258 en II, 175, maar zonder leefjaren.
Overig: de lijst van Engels (zie de institutionele toelichting bij Gedeputeerde Staten van Friesland) plaatst ook de zittingen in dat college in 1673-1677 en 1711-1713 bij hem; maar dat is onjuist (vergelijk de handtekeningen in Tresoar, archief Staten van Friesland, inv. nr. 2614 eedboek, f. 16v en 19v.)"	9			
728	424	Goslinga	van	1	1	Sicco	1				1664.0	0	1731	0	"Overig: was grietman van Franekeradeel 1688-1731.
Was blijkens de lijst van Engels ook gedeputeerde ter Staten-Generaal (zie de institutionele toelichting bij dat college) in 1689-1690, maar dat moet, gezien zijn gelijktijdige lidmaatschap van de Raad van State, een extraordinaris deputatie hebben betroffen."	9	20.0	9.0	
729	432	Haer	van der	1	4	Johan Willem	0				1722.0	0	1764	0	Overig: was grietman van Hemelumer Oldeferd 1745-1764.	9	25.0	6.0	
730	434	Haersma	van	1	1	Arent	0				1645.0	0	1709	0	Overig: was grietman van Smallingerland 1660-1694.	9	21.0	8.0	
731	435	Haersma	van	1	1	Arent	0				1700.0	0	1723	0	"Overig: mogelijk was hij ook nog gecommitteerde in de Generaliteits-Rekenkamer 1719-1722, in plaats van zijn naam- en tijdgenoot (1695-1740, elders in deze database).
Was grietman van Smallingerland 1715-1723."	9	3.0	5.0	
732	436	Haersma	van	1	1	Arent	0				1695.0	1	1740	0	"Overig: mogelijk was hij ook nog gecommitteerde in de Admiraliteit in Friesland vanaf 1722, in plaats van zijn naam- en tijdgenoot (1700-1723, elders in deze database).
Was grietman van Achtkarspelen 1712-1740."	9	16.0	9.0	
733	437	Haersma	van	1	1	Aulus	0				1611.0	1	1669	0	"Persoonsgegevens: het geboortejaar is mogelijk 1610.
Overig: was grietman van Smallingerland 1637-1660."	9	18.0	6.0	
734	438	Haersma	van	1	4	Aulus	0				1670.0	0	1717	0	Overig: was grietman van Smallingerland 1694-1715.	9	11.0	2.0	
735	439	Haersma	van	1	1	Aulus	0				1709.0	0	1763	0	Overig: was grietman van Achtkarspelen 1740-1763.	9	29.0	11.0	
736	440	Haersma	de Blocq van	1	1	Daniel	0				1732.0	0	1814	0	Overig: was grietman van Achtkarspelen 1764-1795.	9	7.0	12.0	
737	441	Haersma	van	1	1	Eelco	0				1667.0	0	1712	0	Overig: was grietman van Achtkarspelen 1688-1712.	9	1.0	2.0	
738	442	Haersma	van	1	4	Ericus	0				1647.0	0	1710	0		9	26.0	9.0	
