	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	overlijdensdag	overlijdensmaand	Opmerkingen2
834	724	Sminia	van	1	1	Idzart	0				1689.0	0	1754.0	0	Overig: was grietman van Hennaarderadeel 1706-1754.	9	22.0	6.0	
835	727	Nauta	Rinia van	1	4	Franciscus	0				1751.0	0	1817.0	0		9			
836	731	Aysma	van	1	1	Hothje	1				1550.0	0	1603.0	0		9	7.0	2.0	
837	732	Tatmans		1	1	Feycke	0				1538.0	0	1601.0	0	Overig: was grietman van Utingeradeel vanaf 1578.	9	2.0	4.0	
838	747	Wijckel	van	1	1	Pijcke	0					0		0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 409 en II, 284, maar zonder leefjaren.	9			
839	766	Scheltinga	van	1	1	Johannes	0				1632.0	0	1669.0	0	Overig: was grietman van Gaasterland 1659-1669.	9	17.0	4.0	
840	768	Scheltinga	van	1	4	Martinus	0				1736.0	0	1799.0	0	Overig: was grietman van Schoterland 1777-1795.	9	5.0	3.0	
841	770	Schepper	de	1	4	Isaäck	0					0	1688.0	0	Overig: was grietman van Achtkarspelen 1677-1688.	9	9.0	5.0	
842	771	Schepper	de	1	1	Imilius Josinus	0				1736.0	0	1790.0	0	Overig: was grietman van Ferwerderadeel 1770-1790.	9	10.0	8.0	
843	789	Sixma		1	1	Douwe	1					0		0		9			
844	791	Sixma	Roorda van	1	1	Tjalling Edo Hessel	1				1707.0	0	1775.0	0		9			
845	795	Sminia	van	1	1	Hessel	0				1666.0	0	1738.0	0		9	18.0	11.0	
846	798	Sminia	van	1	1	Tjalling Edo	0				1716.0	0	1767.0	0	"Overig: de lijst van Engels van de Staten-Generaal (zie institutionele toelichting bij dat college) vermeldt nog, op basis van Bruinsma, zitting als gedeputeerde in 1752. Als dit juist is, was Van Sminia extraordinaris gedeputeerde, want in genoemd jaar was hij gecommitteerde in de Admiraliteit in Friesland.
Was grietman van Hennaarderadeel 1754-1767."	9	5.0	7.0	
847	807	Sijtzama	van	1	1	Douwe	0				1548.0	0	1607.0	0	Overig: was grietman van Idaarderadeel 1578-1599.	9	5.0	7.0	
848	818	Unia	van	1	1	Douwe Carel	1				1649.0	1	1708.0	0	Overig: was grietman van Tietjerksteradeel 1669-1686.	9	5.0	12.0	
849	820	Unia	van	1	1	Willem Emilius	1				1692.0	0	1754.0	0	Overig: was grietman van Kollumerland 1730-1743.	9	6.0	11.0	
850	822	Vegelin van Claerbergen		1	1	Hessel	1				1655.0	0	1715.0	0	Overig: was grietman van Utingeradeel 1683-1689 en van Haskerland 1689-1707.	9	28.0	11.0	
851	826	Vierssen	van	1	1	Aernout	0				1636.0	0		0	Overig: was grietman van Haskerland 1669-1681.	9			
852	831	Wendt	de	1	1	Eizo	0				1630.0	0	1686.0	0		9			
853	832	Wendt	de	1	1	Eizo	0				1718.0	0	1780.0	0	Overig: was grietman van Westdongeradeel 1772-1780.	9	1.0	3.0	
854	834	Wiarda		1	1	Kempo Sjoerdsz.	0				1543.0	1	1625.0	0	Persoonsgegevens: het geboortejaar is mogelijk 1544.	9			
855	836	Wielinga		1	1	Epeus	0				1639.0	0	1718.0	0		9	6.0	10.0	
856	842	Wijckel	van	1	1	Hendrick	0				1649.0	0	1719.0	0	Overig: was grietman van Gaasterland 1706-1710.	9	31.0	10.0	
857	845	Wijckel	Lycklama van	1	1	Regnerus Annaeus	0				1689.0	0	1756.0	0	Overig: was grietman van Gaasterland 1710-1756.	9	10.0	4.0	
858	848	Vierssen	van	1	1	Matthias	0				1660.0	1	1689.0	0	Overig: was grietman van Haskerland 1681-1689.	9	27.0	2.0	
859	849	Vierssen	van	1	1	Willem	0				1563.0	1	1641.0	0	Overig: was Muntmeester van Friesland in 1599.	9	20.0	10.0	
860	850	Burmania	van	1	1	Edzert	1	jonkheer			1594.0	0	1632.0	0	Overig: was grietman van 't Bildt vanaf 1620 ( volgens Vries) of 1622 (volgens De Haan Hettema).	9			
861	852	Saeckma		1	4	Sjoert	0				1607.0	0	1655.0	0	Overig: was grietman van Dantumadeel 1631-1655.	9	8.0	12.0	
862	853	Haren	van	1	1	Duco	1				1747.0	0	1801.0	0	Overig: was grietman van 't Bildt 1788-1795.	9			
863	856	Hoekstra	ten Broecke	1	4	Albert	0				1765.0	0	1828.0	0	Overig: was grietman van Westdongeradeel 1794-1795.	9	27.0	8.0	
864	875	Burmania	van	1	1	Sjuck Tjaert	1				1658.0	0	1723.0	0	"Persoonsgegevens: Baerdt geeft afwijkende overlijdensdatum 23 in plaats van 13 oktober.
Overig: was grietman van Menaldumadeel 1682-1723."	9	13.0	10.0	
865	877	Burmania	Welvelde van	1	1	Zeino Joachim	1				1682.0	1	1710.0	0	"Overig: Baerdt van Sminia meldt dat Burmania 'in het laatst van zijn leven' zitting had in de Raad van State, maar daarvoor is elders geen bewijs gevonden.
Was grietman van Rauwerderhem 1701-1710."	9	4.0	12.0	
866	879	Glinstra	van	1	1	Eelco	0				1668.0	0	1706.0	0	"Persoonsgegevens: Baerdt geeft afwijkende overlijdensdatum 16 in plaats van 14 oktober. 
Overig: was grietman van Gaasterland 1693-1706."	9	14.0	10.0	
867	882	Burmania	van	1	1	Duco	1				1687.0	0	1746.0	0		9	4.0	9.0	
868	887	Vierssen	van	1	1	Frederik	0				1678.0	0	1715.0	0		9	10.0	8.0	
869	888	Tadema		1	1	Keympe	0				1584.0	0	1622.0	0		9	28.0	3.0	
870	889	Vierssen	van	1	1	Assueris	0				1604.0	0	1662.0	0	"Persoonsgegevens: overleden begin 1662. 
Overig: was pensionaris van Leeuwarden 1653."	9			
871	890	Scheltinga	van	1	3	Livius	0				1589.0	1	1650.0	0		9	17.0	12.0	
872	891	Aylva van Loo	van	1	1	Douwe	1				1639.0	1	1669.0	0	Overig: was grietman van Baarderadeel 1660-1669.	9			
873	897	Wendt	de	1	1	Eizo	0				1761.0	0	1803.0	0		9			
874	898	Nijsten	van	1	1	Bartholt Pieter	0				1692.0	0	1732.0	0		9	1.0	3.0	
875	900	Galama	van	1	1	Sijds Anthony	1				1673.0	0	1737.0	0		9	24.0	6.0	Persoonsgegevens: overlijden mogelijk 28 juni.
876	905	Vegelin van Claerbergen		1	1	Hessel	1				1723.0	0	1750.0	0	Overig: was grietman van Haskerland 1749-1750.	9	12.0	7.0	
877	911	Burmania	van	1	4	Frederik Hessel	1				1740.0	0	1794.0	0		9	26.0	9.0	
878	915	Lycklama		1	1		0					0		0		9			
879	917	Knock		1	4	Nicolaus Arnoldi	0				1759.0	0	1794.0	0	Overig: was grietman van Oost-Stellingwerf 1780-1788.	9			
880	926	Idsinga		1	1	Alef	0				1602.0	0	1676.0	0		9	29.0	6.0	
881	940	Solcama		1	1		0					0		0		9			
882	945	Wijngaerden		1	1	A.	0					0		0		9			
883	946	Beyma	van	1	4	Lambertus	0				1590.0	0	1659.0	0		9			Persoonsgegevens: begraven op 9 september.
884	952	Bruijnga		1	1	P.	0					0		0		9			
885	953	Burmania	Martena van	1	1	Duco	1				1656.0	0	1684.0	0		9	21.0	10.0	
886	955	Lycklama à Nijeholt		1	1	Aucke	0				1643.0	0	1715.0	0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 251 en II, 172, maar zonder leefjaren.	9			
887	956	Ockinga	van	1	1		1					0		0	Persoonsgegevens: de voorletter is L. of S.	9			
888	970	Scheltema	van	1	1	Sibe	1					0		0	Persoonsgegevens: waarschijnlijk de Sippe van Scheltema in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 318 (derde generatie, zonder leefjaren).	9			
889	971	Adema		1	1	D.	0					0		0		9			
890	975	Waltijngha	van	1	1	Hobbe	1				1550.0	1	1614.0	0	Overig: was grietman van Franekeradeel 1586-1614.	9	11.0	1.0	
891	982	Crans		1	1		0					0		0		9			
892	985	Aebinga van Humalda	van	1	1	Frans Binnert	0				1678.0	0	1755.0	0		9	23.0	4.0	
893	986	Nijsten	van	1	1	Petrus Florentius	0				1661.0	0	1721.0	0		9	3.0	3.0	
894	990	Sirtema van Grovestins	Heringa	1	1	Binnert	1				1673.0	1	1721.0	0	"Persoonsgegevens: volgens De Haan Hettema overleed hij op 31 oktober, maar blijkens de resoluties van de Provinciale Rekenkamer van Friesland was hij voor de laatste maal op 5 december 1721 aanwezig ter vergadering.
Overig: was grietman van Ferwerderadeel 1709-1721."	9			
895	992	Hixenius		1	1		0					0		0		9			
896	994	Cornelisz.		1	1	Claes	0					0	1620.0	0	Persoonsgegevens: overleden kort vóór 17 juli.	9			
897	997	Haersma	van	1	1	Cornelis	0				1703.0	0	1783.0	0		9	30.0	3.0	
898	998	Eysinga		1	1		1					0		0		9			
899	1004	Sminia	van	1	1	Jetze	0				1759.0	0	1814.0	0	Overig: was secretaris van Tietjerksteradeel.	9	17.0	1.0	
900	1005	Harinxma thoe Slooten	van	1	4	Pieter Edzard	1				1758.0	0	1793.0	0	Overig: was grietman van Westdongeradeel 1789-1793.	9	14.0	10.0	
901	1020	Aylva	van	1	1	Frans Ernst	1				1731.0	0	1768.0	0	Overig: was grietman van Westdongeradeel 1763-1768.	9	7.0	8.0	
902	1025	Roorda		1	1	Karel	1					0		0	Persoonsgegevens: Was blijkens Resolutiën der Staten-Generaal 6 (1588-1589), bewerkt door N. Japikse ('s-Gravenhage 1922) 3, grietman van Idaarderadeel; dit wordt echter door andere bronnen niet bevestigd.	9			
903	1026	Eysinga	van	1	4	Tjallingh	1				1562.0	1	1603.0	0	Overig: was grietman van Menaldumadeel 1601-1603.	9	31.0	8.0	
904	281	Amama		1	1	Johan	0					0		0	Persoonsgegevens: in M. De Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 21-22, worden twee personen met deze naam vermeld, zonder dat echter duidelijk is welke van de twee de hier genoemde is.	9			
905	1029	Heermans		1	1	Cornelis	0					0		0		9			
906	1030	Aernsma	van	1	1	Gijsbertus	0					0	1631.0	0	Overig: was grietman van Dantumadeel 1620-1631.	9			
907	1032	Bungha	van	1	1	Sibrant	0					0		0		9			
908	1033	Evertsz.		1	1	Reijn	0					0		0		9			
909	1036	Radbodus		1	1	N.	0					0		0		9			
910	1037	Heringa		1	1		0					0		0		9			
911	1039	Tijmens		1	1	Anne	0					0		0		9			
912	1040	Heemstra		1	1		1					0		0		9			
913	1044	Heeres		1	1	Broer	0					0		0		9			
914	1045	Mercks		1	1	Rintie	0					0		0		9			
915	1049	Lanting		1	1	Bartel	0					0		0		9			
916	1054	Glinstra	van	1	1	Valerius	0					0	1727.0	0	Overig: was grietman van Gaasterland 1679-1693.	9	2.0	3.0	
917	1056	Heiringen	van	1	1	Philip	0					0		0		9			
918	1059	Wijckel	van	1	1	Hans Hendrik	0					0		0		9			
919	1065	Jongestal	van	1	1	Wibrand	0					0		0		9			
920	1066	Wijckel	van	1	1	Martinus	0				1652.0	1	1694.0	0	Overig: was grietman van Idaarderadeel 1692-1694.	9	14.0	3.0	
921	1067	Sirtema van Grovestins		1	1	Frederik	1				1668.0	1	1730.0	0	Overig: was grietman van Ferwerderadeel 1697-1701 (waarschijnlijk; het is niet geheel zeker dat de grietman identiek is aan de gedeputeerde ter Staten-Generaal).	9	30.0	11.0	
922	1068	Kempenaar	de	1	1	Daniel Livius	0					0		0		9			
923	1069	Sminia		1	1	F.	0					0		0	De identificatie van deze persoon met Frederick van Sminia (1664-1751, elders in deze database) is aanlokkelijk, maar deze had in de periode 1692-1694 zitting in de Generaliteits-Rekenkamer.	9			
924	1071	Nauta		1	1		0					0		0		9			
925	1072	Osinga		1	1		1					0		0		9			
926	1073	Grovestins	van	1	1	Oene	1					0		0		9			
927	1075	Scheltinga	van	1	1	C.	0					0		0		9			
928	1076	Kempenaer	de	1	1	Daniël	0					0		0		9			
929	1077	Beaufort	de	1	1	J.M.	0					0		0		9			
930	1078	Kutsch		1	1	Gabriël	0					0		0		9			
931	1079	Wijckel	Saaksma van	1	1	Johannes	0					0		0		9			
932	1081	Marssum		1	3	Theodorus	0					0		0		9			
933	1083	Sminia	van	1	4	Jetze	0				1703.0	0	1771.0	0		9	7.0	8.0	
934	1087	Boelens	van	1	3	Tjerk	0					0	1673.0	0	Overig: was grietman van Achtkarspelen 1670-1673.	9	29.0	4.0	
935	1089	Coehoorn		1	1	Johannes	0					0		0		9			
936	1091	Sloterdijk	van	1	1	Daniel	0				1717.0	0	1779.0	0		9	8.0	2.0	
937	1092	Scheltinga	van	1	1	Pierius	0				1741.0	0	1809.0	0		9	3.0	7.0	
938	1096	Aitsma	Scheltens van	1	4	Meynart	0				1567.0	0	1649.0	0		9	2.0	9.0	
939	1107	Canter		1	4	Franciscus	1				1624.0	0	1679.0	0		9	17.0	2.0	
940	1111	Idsinga	van	1	1	Alef Mathijsz.	0				1663.0	0	1738.0	0		9	4.0	12.0	
941	1113	Beyma	van	1	1	Coert Juliusz.	0				1681.0	0	1748.0	0		9	29.0	10.0	
942	1116	Idsinga	van	1	1	Saco Alefsz.	0				1693.0	1	1732.0	0		9	22.0	2.0	
943	1118	Haer	van der	1	4	Bonefacius	0				1725.0	0	1762.0	0		9	19.0	4.0	
944	1123	Kann		1	4	Anthonius	0					0	1678.0	1	Persoonsgegevens: mogelijk overleden begin 1679.	9			
945	1124	Beucker		1	4	Johannes	0				1650.0	0	1723.0	0		9	24.0	1.0	
946	1125	Beucker		1	4	Johannes	0				1680.0	0	1742.0	0		9	1.0	6.0	
947	1128	Wielandt		1	4	Thomas	0				1742.0	0	1823.0	0		9	9.0	5.0	
948	1130	Crabbe		1	1	Gerrit	0					0	1617.0	0	Overig: uit Groningen.	9			
949	1132	Redeker		1	1	Jan	0					0		0		9			
950	1134	Hulten	van	1	1	Lucas	0					0	1699.0	0	Persoonsgegevens: overleden vóór 10 juli 1699 (mogelijk in een eerder jaar).	9			
951	1135	Beucker		1	4	Johannes Arnold	0					0	1781.0	0		9			Persoonsgegevens: overleden vóór 17 september 1781.
952	1136	Bruinsma		1	1		0					0		0		9			
953	1140	Bootsma	van	1	1	Epe	1					0		0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 43 en II, 38, maar zonder leefjaren.	9			
954	1121	Scheltinga		1	4	Theodorus	0				1560.0	1	1628.0	0	Persoonsgegevens: Vries geeft einddatum als procureur-generaal van het Hof van Friesland 14 maart 1628, maar Nederland's Adelsboek geeft overlijden 2 maart.	9	2.0	3.0	
955	3			1	1	Paulus	0					0	1516.0	1		9			
956	1028	Eysinga	van	1	1	Frans	1				1594.0	0	1661.0	0	Overig: was grietman van Tietjerksteradeel 1622-1656. Nieuw Nederlandsch Biografisch Woordenboek noemt hem lid van Gedeputeerde Staten van Friesland, maar dat wordt door andere bronnen niet bevestigd.	9	3.0	9.0	
957	1142	Eysinga	van	1	1	Julius	1				1563.0	1	1631.0	0	Persoonsgegevens: het is onzeker of de in De Haan Hettema en Nieuw Nederlandsch Biografisch Woordenboek genoemde persoon identiek is aan de gecommitteerde in de Raad van State. De Haan vermeldt in dit tijdvak twee personen met de naam 'Juw/Julius van Eysinga'. De hier genoemde volgde een militaire carrière; zitting in de Raad van State wordt niet vermeld. De tweede echter, overleden in 1649, geboortejaar onbekend, moet te jong zijn geweest om in 1601 zitting te hebben gehad in de Raad van State, daar zijn ouders in 1587 trouwden.	9	4.0	5.0	
958	282	Amama		1	1	Jo(h)annes Hernes	0					0		0		9			
959	669	Andringa	van	1	1	Tinco	0					0	1619.0	0	Overig: was grietman van Utingeradeel 1613-1619.	9	14.0	2.0	
960	950	Andringa		1	1	S? (of F?)	0					0		0		9			
961	285	Andringa	van	1	1	Jelle	0					0	1612.0	0	Overig: was grietman van Utingeradeel 1601-1612.	9	30.0	9.0	
962	290	Arents		1	1	Willem	0					0		0		9			
963	303	Aylva	van	1	1	Johan	1					0	1660.0	0	"Persoonsgegevens: geboren in of vóór 1614.
Overig: was grietman van Hemelumer Oldeferd 1641-1660."	9			
964	1063	Aylva	van	1	1	Tjaerd	1					0		0	Persoonsgegevens: M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) noemt meerdere personen met deze naam in deze periode, zonder dat duidelijk is wie de hier bedoelde is.	9			
965	698	Aylva	Meckema van	1	1	Sippe	1		Tammingaborg	Hornhuizen, Kloosterburen		0	1669.0	0	Overig: was grietman van Tietjerksteradeel 1656-1669.	9			
966	304	Aylva	van	1	1	Sjoerd	1					0	1641.0	1	"Persoonsgegevens: het jaar van overlijden is mogelijk 1640, zoals in De Nederlandsche Leeuw (maar gezien de benoeming in Gedeputeerde Staten van Friesland is begin 1641 waarschijnlijker).
Overig: was grietman van Hemelumer Oldeferd 1626-1641. De Nederlandsche Leeuw geeft nog zitting in Gedeputeerde Staten 1632 en 1639, maar daarvoor is elders geen bewijs aangetroffen."	9			
967	527	Aysma	van	1	1	Hessel	1					0		0	Persoonsgegevens: M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 243-245 vermeldt verschillende personen met deze naam, zonder dat duidelijk is wie de hier bedoelde is, en of alle hier vermelde bovenlokale functies bij één en dezelfde persoon horen.	9			
968	314	Aysma		1	1	Hessel Lywesz.	1					0		0	Overig: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) II, 165, maar zonder leefjaren.	9			
969	249	Baerdt		1	4	Hobbe Sjoerdsz.	0					0	1591.0	0		9	9.0	6.0	
970	932	Banga		1	1	J.	0					0		0		9			
971	961	Beyma	van	1	1	Jacob	0					0		0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 35 en II, 34, maar zonder leefjaren.	9			
972	325	Beyma	van	1	4	Johan	0					0	1647.0	0		9			
973	328	Bloemendaell		1	1	Jan Willemsz.	0					0		0		9			
974	138	Boner		1	4	Everardus	0					0	1639.0	0		9			Persoonsgegevens: overleden vóór 4 april.
975	502	Boner		1	1	Eco Evertsz.	0					0		0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 369 en II, 257, maar zonder leefjaren.	9			
976	923	Brongersma		1	1	Hillebrant	0					0	1668.0	0	Overig: was burgemeester van Leeuwarden 1664-1668, maar had geen zitting in de vroedschap.	9			
977	509	Burmania	van	1	1	Taecke	1				1560.0	0		0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 59 en 42, maar zonder leefjaren.	9			
978	359	Burmania	van	1	1	Upcke	1					0		0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 59 en II, 42, maar zonder leefjaren. Waarschijnlijk identiek met de in Nieuw Nederlandsch Biografisch Woordenboek 7, 250 genoemde, overleden in 1615.	9			
979	360	Burmania	van	1	1	Upcke	1					0	1673.0	0	Overig: was grietman van Wonseradeel 1664-1673.	9	18.0	6.0	
980	76	Burmania	van	1	4	Upcke	1					0	1557.0	0		9			
981	498	Cammingha	van	1	1	Wijtze	1					0	1606.0	0		9			
982	364	Cammingha	van	1	1	Watze	1					0		0	Persoonsgegevens: M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 76 en 77 geeft twee personen met deze naam, waarbij onduidelijk is welke van hen de hier genoemde is.	9			
983	65	Cammingha	van	1	1	Wytze	1					0	1533.0	0		9			
984	584	Canter	van	1	1	Jan Poppe Andreae	1	jonkheer				0		0		9			
985	368	Cathius		1	1	Jan Hubertsz.	0					0	1593.0	0	Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 276 en II, 186, maar zonder leefjaren. Zijn nakomelingen noemden zich Cathuis of Catzius.	9			
986	1137	Clant	van	1	1	Johannes	0					0	1615.0	0	"Persoonsgegevens: de identificatie van de grietman in Baerdt van Sminia met de gecommitteerde in de Admiraliteit van Friesland is onzeker.
Overig: was grietman van Doniawerstal 1610-1615."	9		8.0	
987	1048	Coppens		1	1	Johan	0					0		0		9			
988	373	Crack		1	1	Hippolytus Roelofsz.	0					0	1626.0	0	Overig: was grietman van Engwirden 1605-1626.	9	17.0	10.0	
989	96	Dekema	van	1	1	Julius	0					0	1580.0	0		9			
990	379	Dompselaar		1	1	Henricus	0					0		0		9			
991	381	Donia	(Harinxma) van	1	1	Keympe	0				1593.0	0		0	Persoonsgegevens: heette eerst Syds van Donia.	9			
992	32	Drachsdorf	von	1	1	Veit	0					0	1526.0	0		9			
993	1103	Faber		1	1	Wopke Teunisz.	0					0	1652.0	0	Persoonsgegevens: overleden vóór 22 april 1652 (mogelijk dus eerder dan 1652).	9			
994	1105	Faber		1	1	Teunis	0					0		0		9			
995	402	Feytsma	van	1	1	Jelger	0					0	1620.0	0	"Persoonsgegevens: de identificatie van het lid van Gedeputeerde Staten van Friesland 1581-1586 en de gedeputeerde ter Staten-Generaal met deze persoon niet geheel zeker; De Haan Hettema I, 115 en II, 74 noemt nog een Jelger Feytsma, die in 1621 overleden zou zijn.
Overig: was grietman van 't Bildt 1609-1620."	9	13.0	9.0	
996	1088	Fockens		1	1	Sako	0				1634.0	0	1665.0	0	Overig: was grietman van Lemsterland in 1665.	9	13.0	12.0	
997	406	Fockesz.		1	1	Sjoerd	0					0		0		9			
998	980	Gerryts		1	1	Piter	0					0		0		9			
999	968	Goorle	van	1	1	David	0					0		0		9			
1000	159	Grovestins	van	1	1	Sicco	1					0	1665.0	0	Overig: was grietman van Hennaarderadeel 1639-1647.	9	16.0	9.0	
1001	37	Grumbach	von	1	1	Fritz	0					0	1541.0	0		9		1.0	
1002	34	Grumbach	von	1	1	Hans	0					0	1515.0	1		9			
1003	894	Haersma	van	1	1	Arent	0					0		0	Persoonsgegevens: niet duidelijk welke Arent van Haersma gecommitteerde in de Admiraliteit op de Maze is geweest. Arent Aulus (1702-1737, elders in deze database) was in deze periode raadsheer in het Hof van Friesland, Arent (1695-1740, elders in deze database) lid van Gedeputeerde Staten van Friesland. M. de Haan Hettema, en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) geeft geen alternatief voor deze twee.	9			
1004	919	Haersma	van	1	1	Arent Eerckes	0					0		0	Overig: was grietman van Smallingerland 1625-1637.	9			
1005	670	Hannema		1	1	Jacob Binckes	0					0		0	Persoonsgegevens: wordt genoemd in Nederland's Patriciaat 18 (1928) 314, maar zonder leefjaren.	9			
1006	1084	Harderwijk	van	1	1	Arent	0					0		0		9			
1007	460	Harinxma	van	1	1	Juw	1				1607.0	0		0		9			
1008	121	Harinxma	van	1	1	Ernst	1					0	1631.0	0		9			Persoonsgegevens: overleden vóór 4 juni.
1009	503	Hottinga	van	1	1	Hero	1					0		0	"Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 224 (waarschijnlijk achtste generatie), maar zonder leefjaren.
Het is niet geheel zeker dat de advocaat-fiscaal van de Admiraliteit in Friesland identiek is aan de ordinaris gedeputeerde ter Staten-Generaal en de gecommitteerde in de Raad van State."	9			
1010	1070	Huber		1	1	Hermanus Ulricus	0					0		0		9			
1011	491	Inthiema	van	1	1	Frederick	0					0		0		9			
1012	494	Itsma		1	1	Wibrandus	0					0		0		9			
1013	495	Jacobi		1	1	Gerardus	0					0		0		9			
1014	133	Jongema	van	1	1	Frans	1					0	1640.0	0		9			
1015	753	Jurryens		1	1	Agge	0					0		0		9			
1016	42	Kamstra		1	1	Renick	0					0	1522.0	0		9	9.0	4.0	
1017	931	Kiestra		1	1	J.	0					0		0		9			
1018	613	Kingma		1	1	Pytter	0					0		0		9			
1019	612	Kingma		1	1	Jan	0					0		0		9			
1020	1095	Leij	van der	1	1	Jan Hendrick Jarichsz.	0				1566.0	1		0	"Persoonsgegevens: overleden na 1630.
Overig: auteur van 'Tghesicht des grooten zeevaerts. Met de wonderbaerlijcke aert ende natuyre der coursen. Tsampt de platte pas-caerten met hare spherische lopers, dienstich om soo wel der werelts lenghde als breete te meten (voor desen ondoenlijck) in de groote zee' (Franeker 1619)."	9			
1021	12	Liauckama		1	1	Schelte	0					0	1503.0	0	Overig: was grietman van Wymbritseradeel 1500-1503.	9			
1022	31	Metsch		1	1	Bernhard	0					0	1513.0	0		9			
1023	1052	Nauta		1	1	Herman Sinnesz.	0					0		0		9			
1024	1062	Nauta		1	1	Bavius	0					0		0		9			
1025	855	Nauta		1	1	Bavius	0					0		0		9			
1026	44	Rataller		1	1	Johan	0					0	1540.0	1		9			
1027	36	Reischach	von	1	4	Simon	0					0		0		9			
1028	999	Scheltinga	van	1	1	Martinus	0					0		0	Persoonsgegevens: de handtekening in het eedboek van de Provinciale Rekenkamer van Friesland (Tresoar, archief Staten van Friesland 1580-1795, inv. nr. 2614) wijkt af van die van zijn naamgenoten in hetzelfde tijdvak (1744-1820 en 1736-1799, beiden elders in deze database). In M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) komt hij echter niet voor.	9			
1029	1090	Scheltinga	van	1	1	Dirk	0					0		0		9			
1030	779	Schwartzenberg en Hohenlansberg	thoe	3	1	Georg Wilco	1					0		0		9			
1031	941	Siersma		1	1		0					0		0		9			
1032	427	Sirtema van Grovestins		1	1	Edzard	1					0		0	"Persoonsgegevens: wordt genoemd in M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (Leeuwarden 1846) I, 135 en II, 84, maar zonder leefjaren.
Overig: was grietman van Hennaarderadeel 1671-1706."	9			
1033	428	Sirtema van Grovestins		1	1	Idzart	1					0	1613.0	0	Overig: was grietman van Menaldumadeel 1603-1613.	9			
1034	529	Sirtema van Grovestins		1	1	Frederik	1					0	1669.0	0	"Persoonsgegevens: mogelijk identiek aan de elders in deze database (zonder leefjaren) voorkomende Frederik van Grovestins, gecommitteerde in de Admiraliteit in Friesland vanaf 1631.
Overig: was ontvanger-generaal van Friesland."	9	30.0	7.0	
1035	27	Taubenheim	von	1	1	Christof	0					0	1536.0	0		9			
1036	839	Winter		1	3	Feijo Johan	0					0		0	Persoonsgegevens: mogelijk promotie in de rechten, dus 'mr.'.	9			
1037	24	Ziegler		1	1	Caspar	0					0	1518.0	0		9			
1038	336	Bouricius	van	1	4	Jacobus	0					0	1672.0	0	Overig: was grietman van Engwirden 1657-1672.	9	29.0	12.0	
1039	338	Bouricius	Crack van	1	1	Johannes	0					0	1700.0	0	Overig: was grietman van Engwirden 1677-1697.	9	27.0	3.0	
